TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
836346869,2,6,10,16905.07905306123
836353167,2,6,10,658193.6013959184
837663879,2,6,10,299161.86403265316
837668025,2,6,10,398578.08897142863
837717257,2,6,10,2775.954114285716
842058910,2,6,10,1439740.3538285717
845044335,2,6,10,116274.95229387755
847162421,2,6,10,17072.19372244898
848151556,2,6,10,701014.8833959185
848764870,2,6,10,249440.2648489796
850549205,2,6,10,47698.09060408163
850562202,2,6,10,14169.51244897959
850564755,2,6,10,51592.67019591837
850575936,2,6,10,124496.63453877554
856030354,2,6,10,4961.775828571428
856030824,2,6,10,7819.7510122449
856065671,2,6,10,4009.0107673469374
860861951,2,6,10,47250.784457142865
863526628,2,6,10,443767.9471918367
868192553,2,6,10,1104.0195918367351
869459445,2,6,10,132738.83578775512
929877038,2,6,10,10846.041828571424
943969594,2,6,10,468863.1936244897
943981017,2,6,10,172083.18213061223
1030393072,2,6,10,53660.669518367344
1035064903,2,6,10,36744.198171428565
1035065755,2,6,10,32339.960971428573
1035556462,2,6,10,2087.36
1037689383,2,6,10,38130.95986938776
1061289615,2,6,10,281196.12163265306
1062867487,2,6,10,13254.89841632653
1063668113,2,6,10,26987.26996734694
1063721481,2,6,10,363563.07509387756
1064483626,2,6,10,161520.6760081633
1064587225,2,6,10,9953.09775510204
1064614421,2,6,10,147594.65880816328
1064646595,2,6,10,130938.3469387755
1066797131,2,6,10,74623.06158367347
1069872187,2,6,10,29221.082604081625
1085391770,2,6,10,25601.75523265307
1088105426,2,6,10,57373.019518367364
1088112515,2,6,10,195224.77168163267
1088136910,2,6,10,13602.877346938778
1088218093,2,6,10,102713.51523265302
1089781589,2,6,10,190476.41596734693
1089827822,2,6,10,50939.78007346938
1091814217,2,6,10,78227.78821224491
1093205481,2,6,10,69855.29041632652
1093460235,2,6,10,96212.02337959185
1100406492,2,6,10,52007.68868571429
1104772642,2,6,10,24204.000155102043
1105145372,2,6,10,21672.924693877554
1105151446,2,6,10,33176.57739591837
1105152913,2,6,10,19406.311991836737
1107699346,2,6,10,964456.4912979591
1107705014,2,6,10,187875.08959183676
1108166267,2,6,10,100415.99431836733
1178366721,2,6,10,99217.70337959184
1182041425,2,6,10,39369.30327346938
1276335264,2,6,10,395294.3472571429
1285920100,2,6,10,320674.007967347
1354957437,2,6,10,275017.4622367347
1402591736,2,6,10,70672.51862040817
1556889332,2,6,10,54424.23081632652
1561695466,2,6,10,4083.635028571429
1574713555,2,6,10,999568.1081714284
1582267634,2,6,10,155546.62772244902
1585619152,2,6,10,58646.04306122451
1594262232,2,6,10,40377.50180408162
1594263670,2,6,10,56634.25942040818
1594271549,2,6,10,36569.34693877551
1617994924,2,6,10,64901.3768489796
1711757436,2,6,10,99034.58285714283
716679764,2,7,10,219720.8396653061
735286989,2,7,10,29578.142653061223
796628327,2,7,10,12809.177885714285
803656013,2,7,10,715018.6326530612
804245827,2,7,10,10320.867746938777
807444298,2,7,10,13593.51813061225
811224241,2,7,10,366388.4865306123
811350832,2,7,10,593591.4302938775
811405342,2,7,10,20352.025297959182
813036796,2,7,10,13493.575665306122
815378026,2,7,10,41297.93795918366
821340660,2,7,10,28078.452008163258
821851364,2,7,10,148175.83183673467
824008632,2,7,10,390017.88653061225
824014002,2,7,10,2880.3826530612246
824093461,2,7,10,9905.912448979594
829628090,2,7,10,1649613.4179918366
830443285,2,7,10,43333.967502040825
831771058,2,7,10,249627.1828571428
831990789,2,7,10,321282.751477551
832793358,2,7,10,278053.7639510204
832928980,2,7,10,26524.501706122443
832932915,2,7,10,316386.9999918367
832947522,2,7,10,66011.72607346938
832962701,2,7,10,596391.7020734693
833085457,2,7,10,81356.3042857143
833087665,2,7,10,176346.00003265304
836346869,2,7,10,16917.64456326531
836353167,2,7,10,734625.6494367346
837663879,2,7,10,288786.3175428571
837668025,2,7,10,379451.8058040817
837717257,2,7,10,3456.2634693877553
842058910,2,7,10,1459881.5663265307
845044335,2,7,10,134213.64253877554
847162421,2,7,10,27238.091461224492
848151556,2,7,10,706446.7962122448
848764870,2,7,10,270661.0318040816
850549205,2,7,10,56842.81706938773
850562202,2,7,10,20008.307681632654
850564755,2,7,10,56098.271828571415
850575936,2,7,10,67592.58837551023
856030354,2,7,10,6119.020563265305
856030824,2,7,10,9612.699191836737
856065671,2,7,10,3725.9926530612247
860861951,2,7,10,47063.2437877551
863526628,2,7,10,434817.9824571429
868192553,2,7,10,558.0808163265307
869459445,2,7,10,170401.92029387757
929877038,2,7,10,10582.616293877554
943969594,2,7,10,415185.7949061225
943981017,2,7,10,176225.35836734693
1030393072,2,7,10,54100.36142857142
1035064903,2,7,10,39149.28760000001
1035065755,2,7,10,39319.10931428571
1035556462,2,7,10,1932.0050530612243
1037689383,2,7,10,52606.62386938775
1061289615,2,7,10,284319.9683591837
1062867487,2,7,10,20712.588824489794
1063668113,2,7,10,18695.459297959187
1063721481,2,7,10,347452.5817061223
1064483626,2,7,10,166399.22660408157
1064587225,2,7,10,12305.40384489796
1064614421,2,7,10,149278.79519183672
1064646595,2,7,10,139985.72469387754
1066797131,2,7,10,69559.03183673469
1069872187,2,7,10,43893.133216326525
1085391770,2,7,10,29945.219746938783
1088105426,2,7,10,98954.71591020409
1088112515,2,7,10,209243.99572244898
1088136910,2,7,10,23355.66102040816
1088218093,2,7,10,158194.11803265303
1089781589,2,7,10,170321.74102040814
1089827822,2,7,10,49057.514212244896
1091814217,2,7,10,175106.57778775512
1093205481,2,7,10,79601.26017142858
1093460235,2,7,10,100901.04988571428
1100406492,2,7,10,62201.987069387775
1104772642,2,7,10,37477.801559183674
1105145372,2,7,10,22384.286889795923
1105151446,2,7,10,34213.07653061225
1105152913,2,7,10,19322.918726530614
1107699346,2,7,10,1003752.8955020409
1107705014,2,7,10,191210.06860408167
1108166267,2,7,10,96774.19523265306
1178366721,2,7,10,107329.41233469386
1182041425,2,7,10,32131.28172244899
1276335264,2,7,10,336165.4783673469
1285920100,2,7,10,316790.98693877546
1354957437,2,7,10,269016.0911918367
1402591736,2,7,10,26616.913787755104
1556889332,2,7,10,79778.85429387756
1561695466,2,7,10,5429.996889795916
1574713555,2,7,10,808957.974489796
1582267634,2,7,10,183093.28653061227
1585619152,2,7,10,72502.80411428568
1594262232,2,7,10,53882.28111020406
1594263670,2,7,10,68979.92388571425
1594271549,2,7,10,29102.80864489795
1617994924,2,7,10,55597.75081632654
1711757436,2,7,10,153580.8844
716679764,2,8,10,244300.72734693877
735286989,2,8,10,28792.060865306128
796628327,2,8,10,13760.587583673469
803656013,2,8,10,637610.2231755103
804245827,2,8,10,9021.21142857143
807444298,2,8,10,14386.015306122448
811224241,2,8,10,296561.1002122449
811350832,2,8,10,577744.7064816325
811405342,2,8,10,23688.793110204075
813036796,2,8,10,11420.442644897963
815378026,2,8,10,55445.6020897959
821340660,2,8,10,27756.663869387747
821851364,2,8,10,143999.75617142857
824008632,2,8,10,420740.21306122455
824014002,2,8,10,2791.3594367346936
824093461,2,8,10,11372.380408163262
829628090,2,8,10,1966309.6726857142
830443285,2,8,10,36212.664906122445
831771058,2,8,10,274492.8930612245
831990789,2,8,10,333972.5233959183
832793358,2,8,10,324162.44684897957
832928980,2,8,10,22419.701028571428
832932915,2,8,10,288460.0066612245
832947522,2,8,10,67706.36123265306
832962701,2,8,10,597670.4185714286
833085457,2,8,10,137722.1567020408
833087665,2,8,10,185018.54984489793
836346869,2,8,10,20673.30612244898
836353167,2,8,10,655847.5216326532
837663879,2,8,10,298527.3100734695
837668025,2,8,10,378550.00531428575
837717257,2,8,10,2564.170481632654
842058910,2,8,10,1435981.89877551
845044335,2,8,10,125365.92831836731
847162421,2,8,10,16482.966032653057
848151556,2,8,10,749740.8795020408
848764870,2,8,10,264818.6016244898
850549205,2,8,10,52416.43578775512
850562202,2,8,10,18907.1931755102
850564755,2,8,10,89243.11264489796
850575936,2,8,10,55467.07660408163
856030354,2,8,10,7122.292604081635
856030824,2,8,10,7694.894824489795
856065671,2,8,10,4650.57530612245
860861951,2,8,10,42712.76227755103
863526628,2,8,10,473452.00372244895
868192553,2,8,10,1066.8920408163267
