TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
1066797131,2,7,10,72025.96169760362
1069872187,2,7,10,30283.135136069417
1085391770,2,7,10,24413.70980248179
1088105426,2,7,10,59699.04805237797
1088112515,2,7,10,219212.99902583347
1088136910,2,7,10,23262.764147606867
1088218093,2,7,10,138043.8315976697
1089781589,2,7,10,168539.3062545369
1089827822,2,7,10,49120.2655333957
1091814217,2,7,10,103717.18513909
1093205481,2,7,10,62764.27916859447
1093460235,2,7,10,127291.16648949761
1100406492,2,7,10,52345.60619394247
1104772642,2,7,10,33265.22205660493
1105145372,2,7,10,20773.409789378846
1105151446,2,7,10,32450.757222911776
1105152913,2,7,10,20836.573517343255
1107699346,2,7,10,929600.0183832166
1107705014,2,7,10,198047.23775221148
1108166267,2,7,10,94996.27636749131
1178366721,2,7,10,90849.42526185677
1182041425,2,7,10,37343.10682055426
1276335264,2,7,10,380319.4435147467
1285920100,2,7,10,318974.77804105467
1354957437,2,7,10,270517.2216314912
1402591736,2,7,10,50065.15030172851
1556889332,2,7,10,56901.289668289486
1561695466,2,7,10,4505.954131066589
1574713555,2,7,10,850587.8216780688
1582267634,2,7,10,184592.87974029448
1585619152,2,7,10,70047.39251628294
1594262232,2,7,10,47478.15063224867
1594263670,2,7,10,83663.78039142319
1594271549,2,7,10,45152.87376745388
1617994924,2,7,10,69552.91511419893
1711757436,2,7,10,109602.53649333012
716679764,2,8,10,248515.07293718867
735286989,2,8,10,32865.4415749319
796628327,2,8,10,14764.249114787042
803656013,2,8,10,669357.1533211147
804245827,2,8,10,8736.772569762834
807444298,2,8,10,14580.421491531026
811224241,2,8,10,344431.7899392325
811350832,2,8,10,590054.8014496453
811405342,2,8,10,21298.037843639533
813036796,2,8,10,13441.516984192041
815378026,2,8,10,53413.38895762583
821340660,2,8,10,25101.495856454407
821851364,2,8,10,200209.00431158755
824008632,2,8,10,359760.38030708075
824014002,2,8,10,3240.7500514586845
824093461,2,8,10,12672.39001563067
829628090,2,8,10,1778330.780317582
830443285,2,8,10,38467.790782475604
831771058,2,8,10,254349.40870786534
831990789,2,8,10,330556.89959925716
832793358,2,8,10,300482.6711477929
832928980,2,8,10,26576.43050389438
832932915,2,8,10,292007.7864650262
832947522,2,8,10,62952.68652534776
832962701,2,8,10,616855.9443041424
833085457,2,8,10,101665.0977993354
833087665,2,8,10,221444.34719068016
836346869,2,8,10,20046.715303433328
836353167,2,8,10,647735.0693900237
837663879,2,8,10,294131.2094376274
837668025,2,8,10,388745.75896583847
837717257,2,8,10,3371.433174907042
842058910,2,8,10,1439347.471534546
845044335,2,8,10,133321.5304255668
847162421,2,8,10,22372.141617122033
848151556,2,8,10,694154.9135769503
848764870,2,8,10,266777.9154088583
850549205,2,8,10,52238.969791479176
850562202,2,8,10,17467.908684644754
850564755,2,8,10,73851.7938636584
850575936,2,8,10,89209.55006379995
856030354,2,8,10,7060.585447937781
856030824,2,8,10,9494.138241134502
856065671,2,8,10,4368.632027843644
